title,project,issue_type
"Input type 'email' as controlled component does not control white spaces",react,BUG
"Warn when using overlapping styles (e.g. border and borderBottom)",react,BUG
"Form input name='nodeName' breaks onSubmit event handling",react,BUG
"onResponderGrant called before onResponderTerminate",react,BUG
"TestUtils - cannot search for a custom component within a DOM element",react,BUG
"scryRenderedDOMComponentsWithTag throws error on FF 43.0.4",react,BUG
"MouseEnter event bubbling happens in reverse order?",react,BUG
"DataTransfer's dropEffect not working on IE/Edge with not minified version react.js",react,BUG
"Pressing spacebar on a checked radio button only fires click in some browsers",react,BUG
"Change event does not fire in IE and Edge under certain circumstances",react,BUG
"Example of using TestUtils.Simulate.change on a multiple select field.",react,BUG
"mouseenter fires on disabled inputs whereas mouseleave does not",react,BUG
"Change event fires too many times when inputing Chinese characters.",react,BUG
"React's blur may not have relatedTarget in IE 9-11 where it is supported.",react,BUG
"Invoking renderToStaticMarkup in render() causes refs to break",react,BUG
"How to implement shouldComponentUpdate with this.context?",react,BUG
"getEventKey implementation inconsistent with DOM3 spec / Firefox implementation",react,BUG
"iframe contents cause invariant violation",react,BUG
"Provide a way to handle browser-autocompleted form values on controlled components",react,BUG
"Use the right document in iframe selection events",react,BUG
"shouldError function not blocking validation",redux-form,BUG
"Weird backspace issue when using type"email"",redux-form,BUG
"Flow: initialize function call. Called with too few arguments",redux-form,BUG
"Field validation page of documentation is not working",redux-form,BUG
"Documentation Invalid Request issue",redux-form,BUG
"[BUG] Swallowed errors in onSubmitSuccess when onSubmit returns a Promise",redux-form,BUG
"Invalid exported flow types.",redux-form,BUG
"FormProps type appears to be missing",redux-form,BUG
"asyncValidate is not canceled when form is reset",redux-form,BUG
"Validation Messages Stop Showing After Adding Input Id",redux-form,BUG
"getFormMeta doesn't get correct field when field name contains dot notation",redux-form,BUG
"submitSucceed set to false in wizard form",redux-form,BUG
"Dispatching initialize() in a form with enableReinitialize=true makes form stay pristine forever",redux-form,BUG
"Validators on the same key overwrites itself",redux-form,BUG
"How to select form[form.name].error? ",redux-form,BUG
"Asyncvalidation does not fire when form submits",redux-form,BUG
"Calling submit action does not trigger validation",redux-form,BUG
"FieldArray : lost focus + errors not displayed",redux-form,BUG
"Radio Buttons Cannot Have Boolean Values",redux-form,BUG
"Can't delete first, initial, numerical, value in pristine FieldArray",redux-form,BUG
"Validation not working after reset",redux-form,BUG
"Dynamic form names - Redux form state not updating when changing forms",redux-form,BUG
"Dismissing submission error ",redux-form,BUG
"Impossible to clear last field in a form when initialValues is an empty object and the form was submitted",redux-form,BUG
"Redux-form does not update initialValues prop of wrapped form",redux-form,BUG
"shouldComponentUpdate doesn't respect `null` -> `false` change",redux-form,BUG
"v6/v7 Submit doesn't always work with async validation",redux-form,BUG
"[v6] Bug with data for fields which was generated dynamically by FieldArray in submit",redux-form,BUG
"redux-form docs for getFormValues selector is misleading",redux-form,BUG
"V6,V7 - Checkbox rendered from stateless function doesn't honor initial values...",redux-form,BUG
"Deserialization fails when Content-Type is null",RestSharp,BUG
"DefaultParameters head check is case sensitive - Can add multiple accept parameters",RestSharp,BUG
"OAuth 1.0 auth not working for empty consumer secret",RestSharp,BUG
"OAuth signature rejected by Twitter",RestSharp,BUG
"Issue uploading files (sync)",RestSharp,BUG
"POST request without body throws exception",RestSharp,BUG
"Unnecssary format exceptions slow down code.",RestSharp,BUG
"Deserialize a DateTime not using DateTimeStyles",RestSharp,BUG
"JsonDeserializer does not respect timezone info on parsing",RestSharp,BUG
"DeserializeAs not working with nested JSON",RestSharp,BUG
"Problem with deserialization of DateTime with milliseconds part",RestSharp,BUG
"POST request With 301 redirect",RestSharp,BUG
"Cookies are not set during redirect",RestSharp,BUG
"RestSharp.Deserializers.XmlDeserializer: Delay "Value" name check",RestSharp,BUG
"NPE in ShadowTypeface",robolectric,BUG
"VectorDrawableCompat 26.0.0 fails on fillType="evenOdd"",robolectric,BUG
"FactoryConfigurationError",robolectric,BUG
"String resources starting with "@"",robolectric,BUG
"ShadowAbsSpinner seem to call OnItemSelectedListener.onItemSelected() twice",robolectric,BUG
"Android Application's fileds nulll with PowerMockRule",robolectric,BUG
"Robolectric Config qualifiers for Plurals does not match pure android ",robolectric,BUG
"activity.recreate() causes java.lang.RuntimeException: java.lang.reflect.InvocationTargetException",robolectric,BUG
"String resources are incorrectly parsed",robolectric,BUG
"java.lang.RuntimeException: no value for android:attr/indeterminateProgressStyle in theme with applied styles",robolectric,BUG
"ViewPropertyAnimator listeners not invoked",robolectric,BUG
"AccessibilityManager.getInstance() should return the same instance",robolectric,BUG
"Invoke super.classBlock in classBlock",robolectric,BUG
"Tests fail with android-maven-plugin",robolectric,BUG
"ObjectAnimator doesn't execute immediately with API N and N_MR1",robolectric,BUG
"FragmentController creates extra Fragment instance when savedInstanceState is provided",robolectric,BUG
"Cannot build project on Windows 10",robolectric,BUG
"Memory leak in ShadowLooper.loopingLoopers",robolectric,BUG
"@ClassRule never executed.",robolectric,BUG
"IllegalStateException when inflating layout with support library 24",robolectric,BUG
"BadParcelableException when unmarshalling Parcelable extending class",robolectric,BUG
"PackageManager does not resolve Intents properly",robolectric,BUG
"Unable to inflate view for custom ArrayAdapter in unit test, StackOverflowError",robolectric,BUG
"Wrong delay when adding delayed messages",robolectric,BUG
"qualifier ignored for raw resources",robolectric,BUG
"Robolectric doesn't unescape strings in XML as Android does",robolectric,BUG
"Resources$NotFoundException if you have a package suffix (v3.0)",robolectric,BUG
"huh? ResName{com.myCompany:color/somecolor}",robolectric,BUG
"Broken resource loading near max method count",robolectric,BUG
"Error loading resource for Toolbar",robolectric,BUG
"Deep-link no-index manifest tag causes NPE",robolectric,BUG
"Bad pattern character 'h' in h:mm a",robolectric,BUG
"HttpResponseCache.getDefault() returns null even if HttpResponseCache.install() has been called",robolectric,BUG
"Null content provider authority with support library v23",robolectric,BUG
"NPE in MenuInflater.inflate when using nested menus",robolectric,BUG
"NPE when Activity.onBackPressed() after replacing fragment with adding to backstack",robolectric,BUG
"ShadowObjectAnimator.isRunning() returns false after ShadowObjectAnimator.start()",robolectric,BUG
"View.startAnimation locks up test",robolectric,BUG
"Robolectric can't find AndroidManifest.xml when testing multidimensional flavor project on Ubuntu",robolectric,BUG
"Can't parse @null as a valid color value",robolectric,BUG
"The same temp directory can be used many times",robolectric,BUG
"Endless running test with spinner and complex layout since update rc2 to rc3",robolectric,BUG
"ShadowDatePickerDialogTest does not pass on KitKat",robolectric,BUG
"Style with new line cause error in robolectric",robolectric,BUG
""Could not Dispatch event" error when using otto",robolectric,BUG
"If an animation is run on the same view twice, onAnimationEnd() is not called the second time.",robolectric,BUG
"Exception in thread "Thread-64" java.lang.RuntimeException: Unexpected call to execute, no pending responses are available.",robolectric,BUG
"RoboSharedPreferences issue in 3.0-rc2",robolectric,BUG
"Robolectric doesn't recognize decimal based dp dimensions without a leading 0 ",robolectric,BUG
"Resource not found for ShareActionProvider with AppCompat 22.1.0",robolectric,BUG
"android.support.v7.app.AlertDialog crash when try to open",robolectric,BUG
"XmlFileBuilder#getAttributeUnsignedIntValue improperly implemented.",robolectric,BUG
"FileNotFoundException with <include layout=.../> tag",robolectric,BUG
"Endless re-queing ui task with EditText",robolectric,BUG
"openRawResource() returns null for library resources",robolectric,BUG
"AnimatorSet listeners no longer called",robolectric,BUG
"meta-data tag not parsed correctly in AndroidManifest.xml",robolectric,BUG
"Lint/DuplicateMethods false-positive for dynamically-created classes inside methods",rubocop,BUG
"AllCops "Exclude" directory is not excluding .irbrc or .pryrc files",rubocop,BUG
"Layout/MultilineMethodCallIndentation autofix lines not aligned",rubocop,BUG
"Special global variables should not be auto corrected",rubocop,BUG
"False positive on Performance/RegexpMatch",rubocop,BUG
"Incorrect Style/SafeNavigation behavior in clauses with multiple rule violation",rubocop,BUG
"Lint/DuplicateMethods for classes inside `class << self` of parent module",rubocop,BUG
"`Rails/DynamicFindBy` false-positives on `Gem::Specification.find_by_name`",rubocop,BUG
"Style/SafeNavigation throws an offense and can autocorrect into a style that violates another cop (Lint/SafeNavigationChain)",rubocop,BUG
"Incorrect Layout/IndentationWidth behaviour on multiple modifiers",rubocop,BUG
"Performance/StartWith false positive",rubocop,BUG
"Rubocop undecided between Style/GuardClause and Style/MultilineIfModifier",rubocop,BUG
"Method missing cop and BasicObject",rubocop,BUG
"Newer versions fail to auto correct stdin",rubocop,BUG
"SpaceAroundOperators raised when the previous aligned line has brackets",rubocop,BUG
"Style/TrailingWhitespace marks offenses when whitespace is in a string",rubocop,BUG
"Style/StringLiteralsInInterpolation probably shouldnâ€™t trigger inside a heredoc",rubocop,BUG
"Bug in Autocorrect for Layout/IndentHeredoc",rubocop,BUG
"Style/TernaryParentheses autocorrect changes code intent",rubocop,BUG
"MultilineMethodCallIndentation inconsistently applied",rubocop,BUG
"Comma in wrong place after Style/MultilineHashBraceLayout (syntax error) when trailing comment",rubocop,BUG
"[Performance/RegexpMatch] Introducing bug on `foo =~ /re/` to `foo.match?(/re/)`",rubocop,BUG
"Error when EnforcedStyle is not supported but given",rubocop,BUG
"Style/Filename gives wrong diagnostic for some known ruby file names",rubocop,BUG
"Unexpected Style/HashSyntax consistency offence",rubocop,BUG
"Rails/FindBy doesnâ€™t look at arguments to `where`",rubocop,BUG
"False positive in Rails/FilePath cop",rubocop,BUG
"Bug of Style/NumericPredicate",rubocop,BUG
"Style/AlignHash conflicts with Style/AlignParameters",rubocop,BUG
"Exceptions in non-cops can suggest regular classes are cops",rubocop,BUG
"False positive from `Lint/UselessAssignment` with if/unless modifier",rubocop,BUG
"Style/TrailingCommaInArguments false positive with interpretation of multi-lined arguments?",rubocop,BUG
"Casecmp autocorrect to .zero? can fail is the & operator is used",rubocop,BUG
"0.50.0: Style/InfiniteLoop autocorrection breaks variable scope",rubocop,BUG
"Inconsistent treatment of aligned array params by Style/ExtraSpacing cop",rubocop,BUG
"Can't put custom cops into rubocop_todo.yml",rubocop,BUG
"Style/ElseAlignment should have a consistent option",rubocop,BUG
"EndAlignment and ConditionalAssigment cops disagree about shovel as assignment",rubocop,BUG
"SASS Timeout during compiling - CentOS 6/Cloudlinux 6.9",sass,BUG
"Autocompile problem with watch",sass,BUG
"Source Range of CommentNode after @if is incorrect",sass,BUG
"a nested @import with an @if inside removes the nesting",sass,BUG
"Bug with handling / in interpolation",sass,BUG
"The method `invalid_content_parent` is never called",sass,BUG
"Error: @charset may only be used at the root of a document.",sass,BUG
"posibility to use new css specs in combination with sass?",sass,BUG
"Nested media queries using the "not" keyword should not be merged",sass,BUG
"No error reported when @extend fails and the extender contains certain combinators",sass,BUG
"REPL output of division of complex units is inconsistent",sass,BUG
"Unexpected output from @extend with the child combinator (>)",sass,BUG
"v3.4.14 not resolve relative @import from stdin",sass,BUG
"The sass executable shouldn't implicitly switch to --update",sass,BUG
"Duplicate classes are removed from selector when extending",sass,BUG
"unquote should raise an error for non-strings",sass,BUG
"Windows cache problem",sass,BUG
"Extra arguments passed to fixed arity function don't cause error",sass,BUG
"Nested `&` will result strange line break with `nested` or `extended` style",sass,BUG
"wrong number of arguments (1 for 2) for `mix'",sass,BUG
"Buggy javassist library dependency with 2.0.0.M6",spring-boot,BUG
"application-{$profile} yaml, reading order is weird",spring-boot,BUG
"DevToolsDataSourceAutoConfiguration fails when FactoryBean in Spring XML",spring-boot,BUG
"ConfigurationMetadataProcessor fails with StackOverFlowError if configuration properties contain a cycle",spring-boot,BUG
"ContextIdApplicationContextInitializer doesn't produce unique IDs, breaking contract of ApplicationContext.getId()",spring-boot,BUG
"WebFlux applications do not support X-Forwarded-* request headers",spring-boot,BUG
"Incremental compilation does not keep metadata for `NestedConfigurationProperty`",spring-boot,BUG
"JmsHealthIndicator can hang in case failover with infinite max reconnects is used with ActiveMQ",spring-boot,BUG
"Intermittent webflux test failures due to timeouts",spring-boot,BUG
"Potential Bug: data.sql imports twice",spring-boot,BUG
"JSPs do not work with Java 9 when not running a packaged application",spring-boot,BUG
"Map all non-core jdk types to something that JMX clients know about",spring-boot,BUG
"Bug in `MessageSourceAutoConfigration#ResourceBundleCondition` or documentation of field `basename` in `MessageSourceAutoConfiguration` misleading",spring-boot,BUG
"Recreation of /tmp/tomcat* directory incase its deleted during file upload",spring-boot,BUG
"Management endpoint Tomcat connector picks up general server properties",spring-boot,BUG
"Running executable jar does not properly handle space or asterisk in RUN_ARGS",spring-boot,BUG
"JUL-based logging performed during close of application context is lost",spring-boot,BUG
"The Elasticsearch health indicator uses a potentially heavy call to check its status",spring-boot,BUG
"Devtools restart does not work with reactor-netty",spring-boot,BUG
"BackgroundPreinitializer breaks initialization of DefaultFormattingConversionService",spring-boot,BUG
"TestRestTemplate replaces custom HttpClients",spring-boot,BUG
"@Scheduled annotation does not work in test if bean is annotated with @SpyBean",spring-boot,BUG
"Remote Spring Boot devtools unable to restart application if a dependency has autowire candidates that the main application uses ",spring-boot,BUG
"HATEOAS: ResponseEntity<Resource> from @ExceptionHandler method not converted to HAL",spring-boot,BUG
"Problem with Eclipse formatter",spring-boot,BUG
"SpringProfileDocumentMatcher does not work as expected",spring-boot,BUG
"By default EmbeddedDb isn't closed in the end of contex",spring-boot,BUG
"create-drop does not work with Apache Derby",spring-boot,BUG
"`@ConditionalOnProperty` does not handle lists properly",spring-boot,BUG
"@SpyBean on Data Jpa Repository bean isn't working",spring-boot,BUG
"SLF4JBridgeHandler is removed after (POST) /refresh",spring-boot,BUG
"Logged auto-configuration report doesn't include conditions evaluated in child contexts",spring-boot,BUG
"Actuator with management.port takes the same WebMvcConfigurerAdapter",spring-boot,BUG
"Spring security + boot with @EnableGlobalMethodSecurity and Custom MethodSecurityExpressionHandler @Bean throws exceptions fails to start. ",spring-boot,BUG
"Slf4JLoggingSystem should also configure JUL levels",spring-boot,BUG
"Exceptions thrown in ControllerAdvice class are not handled correctly",spring-boot,BUG
"Have assembly/module load events report if image contains R2R codegen",coreclr,ENHANCEMENT
"[JIT] Range check elimination",coreclr,ENHANCEMENT
"[Arm64] Design Implement Intrinsic Support",coreclr,ENHANCEMENT
"[RyuJIT] Improve SSA construction throughput",coreclr,ENHANCEMENT
"Optimize Span.Copy and Span.TryCopyTo",coreclr,ENHANCEMENT
"PAL_VirtualUnwindOutOfProc isn't implemented for non x64 platforms",coreclr,ENHANCEMENT
"Rethink the Microsoft.NETCore.ILAsm NuGet package",coreclr,ENHANCEMENT
"[Infrastructure] Add header files to native Visual Studio coreclr projects",coreclr,ENHANCEMENT
"Add command to dotnet CLI to download symbols for runtime and libraries",coreclr,ENHANCEMENT
"ARM JIT support for "jump stamps" for ReJIT",coreclr,ENHANCEMENT
"[RyuJIT/arm64] Determine treatment of special regs",coreclr,ENHANCEMENT
"JIT: Allow CALLEE_IS_FORCE_INLINE precedent over CALLEE_DOES_NOT_RETURN",coreclr,ENHANCEMENT
"Modify interlocked nodes to take an indirection",coreclr,ENHANCEMENT
"Blocking issues for profiler APIs on ARM32/64",coreclr,ENHANCEMENT
"Create OverridePackageSource property and use it for build-from-packages source",coreclr,ENHANCEMENT
"Refactor `emitter::instrDesc` and supporting code for XARCH",coreclr,ENHANCEMENT
"Suggestion: enhance Method Load event records to indicate what kind of code the jit produced",coreclr,ENHANCEMENT
"Improve GTF_EXCEPT consistency",coreclr,ENHANCEMENT
"Reduce the number of runtime dependencies required to be installed",coreclr,ENHANCEMENT
"Build Microsoft.DotNet.BuildTools.Coreclr from source in the open",coreclr,ENHANCEMENT
"JIT: type assertion prop doesn't know declared types for args or locals",coreclr,ENHANCEMENT
"JIT: some ideas on high-level representation of runtime operations in IR",coreclr,ENHANCEMENT
"Move disable warning options from compileoptions.cmake to warningcontrol.h",coreclr,ENHANCEMENT
"[RyuJIT] Poor CQ/RA if method parameter is used directly",coreclr,ENHANCEMENT
"JIT: cleanup box/unbox/copy after known successful type equality check",coreclr,ENHANCEMENT
"Microsoft.ExtendedReflection support for CoreClr",coreclr,ENHANCEMENT
"Jit always null checks x64 VSD calls, even if it's proven the object can't be null",coreclr,ENHANCEMENT
"Unreachable try/catch not elided by JIT",coreclr,ENHANCEMENT
"Rename FEATURE_SET_FLAGS to LEGACY_SET_FLAGS",coreclr,ENHANCEMENT
"[RyuJIT] Enable CORINFO_INTRINSIC Round, Ceiling, and Floor to generate ROUNDSS and ROUNDSD",coreclr,ENHANCEMENT
"Enable multi-byte NOP in RyuJIT/x86",coreclr,ENHANCEMENT
"[RyuJIT] Add support for bswap",coreclr,ENHANCEMENT
"[Arm64] Review/implement cost estimates in gtSetEvalOrder",coreclr,ENHANCEMENT
"[Arm64] Review/revise code in genAllocLclFrame",coreclr,ENHANCEMENT
"[Arm64] Implement IsCallTargetInRange correctly",coreclr,ENHANCEMENT
"[Arm] Implement inst_SET and cleanup ",coreclr,ENHANCEMENT
"Weird failure returning multiple levels up the call stack",coreclr,ENHANCEMENT
"RyuJIT: fgDebugCheckBBlist (or similar) should check loop annotations",coreclr,ENHANCEMENT
"Improve lock contention problem on Linux ",coreclr,ENHANCEMENT
"[Arm64] Implement GT_INTRINSIC lowering?",coreclr,ENHANCEMENT
"[RyuJIT/ARM32] Support fast tail call optimization",coreclr,ENHANCEMENT
"[RyuJIT] Improve heuristic for zero-initialization of locals",coreclr,ENHANCEMENT
"JIT optimize block copy with offset",coreclr,ENHANCEMENT
"[RyuJIT][LSRA] Let variables within a loop use register first",coreclr,ENHANCEMENT
"Unnecessary extra and instruction in uint % 256",coreclr,ENHANCEMENT
"[Arm64/Windows] Optimize JIT_WriteBarriers",coreclr,ENHANCEMENT
"[Arm64/Windows] Add JIT_Stelem_Ref helper",coreclr,ENHANCEMENT
"Use `GT_IND(GT_INDEX_ADDR))` in debuggable code.",coreclr,ENHANCEMENT
"JIT optimization: tail merge",coreclr,ENHANCEMENT
"JIT: disambiguate loads/stores of different byref-exposed locals",coreclr,ENHANCEMENT
"JIT: eliminate store-to-load redundancies through byrefs and unmanaged pointers",coreclr,ENHANCEMENT
"[RyuJIT][LSRA] Restructure LinearScan::isAssigned to improve efficiency",coreclr,ENHANCEMENT
"Jit: Long method Jit time for ImmutableList.Enumerator.Dispose",coreclr,ENHANCEMENT
"LclVars and throughput",coreclr,ENHANCEMENT
"Revisit the strategy for fail fasts from compInlineResult->NoteFatal.",coreclr,ENHANCEMENT
"JIT: Add too many locals check to lvaGrabTemps",coreclr,ENHANCEMENT
"[RyuJIT] Integer Promotion Elimination on GT_CAST",coreclr,ENHANCEMENT
"[RyuJIT] Unify handling of nodes that produce multiple registers",coreclr,ENHANCEMENT
"Investigate extra methods jitted when running simple app on Linux",coreclr,ENHANCEMENT
"Calls to Interlocked.CompareExchange<T> prevents inlining",coreclr,ENHANCEMENT
"double.ToString("R") not working for certain number on x64",coreclr,ENHANCEMENT
"15% perf delta between array access and span access",coreclr,ENHANCEMENT
"[ARM32] Consider setting BBF_FINALLY_TARGET immediately before codegen",coreclr,ENHANCEMENT
"[RyuJIT-AMD64] Miss addressing mode optimization",coreclr,ENHANCEMENT
"Consider creating a ranged version of CORINFO_HELP_ASSIGN_BYREF",coreclr,ENHANCEMENT
"[RyuJIT/ARM32] Full list of NYI_ARM",coreclr,ENHANCEMENT
"[RyuJIT] Get rid of TYP_CHAR and use TYP_USHORT instead",coreclr,ENHANCEMENT
"ProfToEEInterfaceImpl::DoStackSnapshot can only be called from the same thread on non Windows platforms",coreclr,ENHANCEMENT
"[ARM32] Legacy vs. Ryu performance",coreclr,ENHANCEMENT
"x64 helper call perf optimization opportunities",coreclr,ENHANCEMENT
"JIT: indirect jump table for small dense switch probably suboptimal",coreclr,ENHANCEMENT
"[RyuJIT][LSRA] Dump the `operandToLocationInfoMap` repeatably",coreclr,ENHANCEMENT
"JIT: inefficient codegen for calls returning 16-byte structs on Linux x64",coreclr,ENHANCEMENT
"JIT: inefficient multidimensional array access vis Jit32 (and in general)",coreclr,ENHANCEMENT
"JIT: Missed bounds check vs Jit32",coreclr,ENHANCEMENT
"JIT: examples where loop cloning is not useful",coreclr,ENHANCEMENT
"Revisit when to use RBP frames on x64 with SysV ABI",coreclr,ENHANCEMENT
"Jit x86: improve codegen for compares with long statics",coreclr,ENHANCEMENT
"Examples where RyuJit x86 has more integer spills/reloads/movs than Jit32",coreclr,ENHANCEMENT
"Examples where x64 Linux codegen has more integer spill/reloads than Windows",coreclr,ENHANCEMENT
"Need some telemetry in createdump",coreclr,ENHANCEMENT
"Make SOS/SOS.NETCore coreclr build version independent",coreclr,ENHANCEMENT
"Improve write barrier codegen for struct copies and indirect stores through opaque byrefs.",coreclr,ENHANCEMENT
"Enable RIP-relative addressing for JIT access to class statics on x64 non-windows",coreclr,ENHANCEMENT
"Implement __assume for non-windows builds",coreclr,ENHANCEMENT
"Builds on linux fail to produce a native build log in `bin\Logs`",coreclr,ENHANCEMENT
"Improve the error handling of jit failures to identify when profiler provided IL is in use",coreclr,ENHANCEMENT
"Improve SOS so that it displays profiler modified IL for functions",coreclr,ENHANCEMENT
"Methods with calli fail to inline because of unsupported opcode",coreclr,ENHANCEMENT
"[*nix|arm64] canFastTailCall will always report false for non-enregisterable structs",coreclr,ENHANCEMENT
"[RyuJIT] Range check phase effectivness",coreclr,ENHANCEMENT
"Tiered jitting: Design/Implement appropriate diagnostics",coreclr,ENHANCEMENT
"Tiered jitting: Implement additional profiler APIs",coreclr,ENHANCEMENT
"[RyuJit/x64] Generates extra movsxd when using a byte value as an address offset",coreclr,ENHANCEMENT
"[RyuJIT] Recognize and optimize constant set membership tests",coreclr,ENHANCEMENT
"[RyuJIT][XArch] Avoid contained immediate for binary op with lclVar",coreclr,ENHANCEMENT
"Evaluate RyuJIT logic for generating return blocks",coreclr,ENHANCEMENT
"Evaluate enabling constant folding on non-target-specific intrinsics",coreclr,ENHANCEMENT
"Make inliner more aggressive if the root method is not shared and invokes shared methods",coreclr,ENHANCEMENT
"Investigate release/2.0.0 x64 vs x86 throughput differences",coreclr,ENHANCEMENT
"Improve the usefulness of operator kinds w.r.t. operand access.",coreclr,ENHANCEMENT
"[Memory consumption] Remove relocations for Readonly section",coreclr,ENHANCEMENT
"Thread.Name should use SetThreadDescription",coreclr,ENHANCEMENT
"[RyuJIT] Use a backward traversal for Decomp and Lowering",coreclr,ENHANCEMENT
"Different codegen for `return cond;` vs `if (cond) return true; return false;`",coreclr,ENHANCEMENT
"Model physical resource liveness in LIR",coreclr,ENHANCEMENT
"RyuJIT seems to recreate delegates for closures declared within generic methods",coreclr,ENHANCEMENT
"Consider detecting and throwing BADCODE exception when missing box on call argument.",coreclr,ENHANCEMENT
"[ILASM] Add option to produce deterministic outputs",coreclr,ENHANCEMENT
"CodeGen should be updated to support the FMA instruction set",coreclr,ENHANCEMENT
"Debugger.Launch doesn't work correctly on coreclr on Windows",coreclr,ENHANCEMENT
"Fix Interface Dispatch to emit unwind and naming information for profiling",coreclr,ENHANCEMENT
"Add support for not breaking Windows build on warnings",coreclr,ENHANCEMENT
"Emit AVX-512 vector instructions",coreclr,ENHANCEMENT
"[Linux] How to view static fields of generics in SOS?",coreclr,ENHANCEMENT
"[Arm64/Unix] Support ARMv8 Extensions - Atomics (long term optimization)",coreclr,ENHANCEMENT
"JIT: RunOnGPUAttribute",coreclr,ENHANCEMENT
"JIT: optimization: could refine set of fields flagged `GTF_FLD_INITCLASS`",coreclr,ENHANCEMENT
"Extra zeroing with structs and inlining",coreclr,ENHANCEMENT
"JIT optimization: value re-numbering in CSE doesn't help span loops as much as array loops",coreclr,ENHANCEMENT
"Running dotnet core in a read-only container",coreclr,ENHANCEMENT
"Interlocked.CompareExchange missing for uint, ulong and (if possible) general structs.",coreclr,ENHANCEMENT
"Would it be possible to resize arrays without reallocating?",coreclr,ENHANCEMENT
"[ARM32] Display wrong register number for double registers",coreclr,ENHANCEMENT
"JIT optimization: generalized relational assertion prop",coreclr,ENHANCEMENT
"JIT optimization: loop head alignment",coreclr,ENHANCEMENT
"JIT optimization: loop unrolling",coreclr,ENHANCEMENT
"Use stelm.ref helper calls towards array bounds check assertions and range check elimination",coreclr,ENHANCEMENT
"RyuJit doesn't CSE unmanaged memory reads",coreclr,ENHANCEMENT
"[Arm64] Use Half barriers and Load-Acquire Store Release to Implement IL Volatile Prefix",coreclr,ENHANCEMENT
"Remove un-needed target when upgrading to v2 BuildTools",coreclr,ENHANCEMENT
"Enable tail recursion elimination for methods with struct parameters or returns",coreclr,ENHANCEMENT
"Implement machine dependent peephole optimizer at lower time",coreclr,ENHANCEMENT
"Out of memory exception in JIT/Regression/JitBlue/DevDiv_255294 ",coreclr,ENHANCEMENT
"[LSRA] Add facility to do register preferencing across multiple related intervals",coreclr,ENHANCEMENT
"Propagate exceptions thrown in the Globalization managed callbacks",coreclr,ENHANCEMENT
"Enable register/stack value tracker to remove opportunistic copy/redef",coreclr,ENHANCEMENT
"Enable target dependent address mode building",coreclr,ENHANCEMENT
"Represent the secret stub arg passed to the PInvoke frame initializer using a lclVar.",coreclr,ENHANCEMENT
"Variable lifetime issue with x64 JIT",coreclr,ENHANCEMENT
"[RyuJIT][LSRA] Consider pre-allocating high-frequency lclVars",coreclr,ENHANCEMENT
"[RyuJIT] Fully enregister structs that fit into a single register when profitable",coreclr,ENHANCEMENT
"[RyuJIT][LSRA] Improve efficiency of VarToRegMaps",coreclr,ENHANCEMENT
"Jit: simplify chain of gc - nogc - gc casts from span ctor",coreclr,ENHANCEMENT
"[RyuJIT][LSRA] Consider using a different selection order for tree temps than for vars",coreclr,ENHANCEMENT
"[RyuJIT][LSRA] Improve heuristics for allocating incoming parameters.",coreclr,ENHANCEMENT
"[RyuJIT][LSRA] Evaluate jit-time impact of recording preferences at each kill",coreclr,ENHANCEMENT
"[RyuJIT][LSRA] Take register encoding sizes into account",coreclr,ENHANCEMENT
"[LSRA][RyuJIT] Spill single-def vars at def, if def weight is lower than use(s) weight",coreclr,ENHANCEMENT
"[RyuJIT][CQ] LSRA: Investigate separating cross-block lclVars from intra-block lclVars",coreclr,ENHANCEMENT
"Way to increase x64 GC aggressiveness? (as per x86)",coreclr,ENHANCEMENT
"Consider extending Linux core dumps format to include code sections",coreclr,ENHANCEMENT
"Build.cmd should check the version ID of cmake before proceeding",coreclr,ENHANCEMENT
"RyuJIT: Add unreachable code removal pass",coreclr,ENHANCEMENT
"[RyuJIT/ARM32] Refine LSRA to support double register allocation",coreclr,ENHANCEMENT
"Improve handling of fixed register requirements",coreclr,ENHANCEMENT
"Add code to verify that operations on short/long bitsets operate on the correct epoch.",coreclr,ENHANCEMENT
".Net decimal vs SQL Server decimal",coreclr,ENHANCEMENT
"JIT: consider inlining synchronized methods",coreclr,ENHANCEMENT
"Investigate why SOS command 'ClrStack -i' does not work with code created through IMetaDataEmit.",coreclr,ENHANCEMENT
"EC Save+Restore can be reduced",coreclr,ENHANCEMENT
"JIT: consider taking advantage of non-null this in generic instance methods",coreclr,ENHANCEMENT
"Support automatic generation of profiling file names to avoid potential conflicts",coreclr,ENHANCEMENT
"JIT: reconsider how to express managed pointer creation null checks",coreclr,ENHANCEMENT
"[Arm64/Unix] SOS 64K page support",coreclr,ENHANCEMENT
"Jit: improve codegen for impRuntimeLookup",coreclr,ENHANCEMENT
"Produce and upload symbols for Windows",coreclr,ENHANCEMENT
"Produce and upload symbols for macOS",coreclr,ENHANCEMENT
"Produce and upload symbols for Linux",coreclr,ENHANCEMENT
"optimize delegate constructor in R2R for a virtual fp.",coreclr,ENHANCEMENT
"dbgshm does not allow creation in a separate console",coreclr,ENHANCEMENT
"[arm64] CQ Fix lowering of GT_LEA to only require single instruction",coreclr,ENHANCEMENT
"JIT: consolidate type tracking mechanisms",coreclr,ENHANCEMENT
"JIT: consider doing some type opts earlier",coreclr,ENHANCEMENT
"Register spilling issue when using AsSpan and Slice causing slow performance",coreclr,ENHANCEMENT
